"filename", "language", "JSON", "Log", "JavaScript", "comment", "blank", "total"
"e:\FYP-WORK\FypApp\.expo-shared\assets.json", "JSON", 4, 0, 0, 0, 1, 5
"e:\FYP-WORK\FypApp\App.js", "JavaScript", 0, 0, 28, 0, 7, 35
"e:\FYP-WORK\FypApp\app.json", "JSON", 17, 0, 0, 14, 0, 31
"e:\FYP-WORK\FypApp\babel.config.js", "JavaScript", 0, 0, 6, 0, 1, 7
"e:\FYP-WORK\FypApp\jsconfig.json", "JSON", 3, 0, 0, 0, 1, 4
"e:\FYP-WORK\FypApp\src\Navigation\AppNavigator.js", "JavaScript", 0, 0, 77, 0, 5, 82
"e:\FYP-WORK\FypApp\src\Navigation\AuthNavigator.js", "JavaScript", 0, 0, 25, 0, 5, 30
"e:\FYP-WORK\FypApp\src\Navigation\TabNavigation.js", "JavaScript", 0, 0, 40, 0, 5, 45
"e:\FYP-WORK\FypApp\src\Navigation\navigationTheme.js", "JavaScript", 0, 0, 10, 0, 2, 12
"e:\FYP-WORK\FypApp\src\api\AchievementApi.js", "JavaScript", 0, 0, 18, 0, 3, 21
"e:\FYP-WORK\FypApp\src\api\CelebBioApi.js", "JavaScript", 0, 0, 13, 0, 1, 14
"e:\FYP-WORK\FypApp\src\api\ConcertApi.js", "JavaScript", 0, 0, 16, 0, 2, 18
"e:\FYP-WORK\FypApp\src\api\NamingAppApi.js", "JavaScript", 0, 0, 4, 0, 1, 5
"e:\FYP-WORK\FypApp\src\api\PosterApi.js", "JavaScript", 0, 0, 40, 0, 2, 42
"e:\FYP-WORK\FypApp\src\api\SocialAccApi.js", "JavaScript", 0, 0, 7, 0, 1, 8
"e:\FYP-WORK\FypApp\src\api\SportsInfoApi.js", "JavaScript", 0, 0, 18, 0, 5, 23
"e:\FYP-WORK\FypApp\src\api\StatisticsApi.js", "JavaScript", 0, 0, 18, 0, 5, 23
"e:\FYP-WORK\FypApp\src\api\auth.js", "JavaScript", 0, 0, 7, 0, 3, 10
"e:\FYP-WORK\FypApp\src\api\politicianInfoApi.js", "JavaScript", 0, 0, 13, 10, 4, 27
"e:\FYP-WORK\FypApp\src\api\politicianProjApi.js", "JavaScript", 0, 0, 18, 10, 5, 33
"e:\FYP-WORK\FypApp\src\api\users.js", "JavaScript", 0, 0, 5, 0, 2, 7
"e:\FYP-WORK\FypApp\src\auth\context.js", "JavaScript", 0, 0, 3, 0, 3, 6
"e:\FYP-WORK\FypApp\src\auth\storage.js", "JavaScript", 0, 0, 29, 0, 7, 36
"e:\FYP-WORK\FypApp\src\auth\useAuth.js", "JavaScript", 0, 0, 17, 0, 5, 22
"e:\FYP-WORK\FypApp\src\components\AccountItems.js", "JavaScript", 0, 0, 30, 0, 4, 34
"e:\FYP-WORK\FypApp\src\components\AchievementCard.js", "JavaScript", 0, 0, 57, 0, 5, 62
"e:\FYP-WORK\FypApp\src\components\ActorPhysicalBio.js", "JavaScript", 0, 0, 379, 0, 5, 384
"e:\FYP-WORK\FypApp\src\components\AlbumEditModal.js", "JavaScript", 0, 0, 111, 0, 3, 114
"e:\FYP-WORK\FypApp\src\components\AlbumInputForm.js", "JavaScript", 0, 0, 164, 0, 6, 170
"e:\FYP-WORK\FypApp\src\components\AlbumModal.js", "JavaScript", 0, 0, 77, 0, 2, 79
"e:\FYP-WORK\FypApp\src\components\AppText.js", "JavaScript", 0, 0, 13, 0, 5, 18
"e:\FYP-WORK\FypApp\src\components\ButtonComponent.js", "JavaScript", 0, 0, 36, 0, 3, 39
"e:\FYP-WORK\FypApp\src\components\Card.js", "JavaScript", 0, 0, 34, 0, 5, 39
"e:\FYP-WORK\FypApp\src\components\CardModal.js", "JavaScript", 0, 0, 68, 0, 3, 71
"e:\FYP-WORK\FypApp\src\components\Category.js", "JavaScript", 0, 0, 28, 0, 4, 32
"e:\FYP-WORK\FypApp\src\components\CategoryModal.js", "JavaScript", 0, 0, 86, 0, 3, 89
"e:\FYP-WORK\FypApp\src\components\ConcertModal.js", "JavaScript", 0, 0, 157, 0, 6, 163
"e:\FYP-WORK\FypApp\src\components\CricketTournamentCard.js", "JavaScript", 0, 0, 68, 0, 5, 73
"e:\FYP-WORK\FypApp\src\components\DatePicker.js", "JavaScript", 0, 0, 93, 0, 2, 95
"e:\FYP-WORK\FypApp\src\components\DescriptionComponent.js", "JavaScript", 0, 0, 37, 0, 3, 40
"e:\FYP-WORK\FypApp\src\components\FacebookHelpModal.js", "JavaScript", 0, 0, 130, 0, 3, 133
"e:\FYP-WORK\FypApp\src\components\FbDescriptionCard.js", "JavaScript", 0, 0, 29, 0, 3, 32
"e:\FYP-WORK\FypApp\src\components\FootballTournamentCard.js", "JavaScript", 0, 0, 70, 0, 6, 76
"e:\FYP-WORK\FypApp\src\components\GradiantButton.js", "JavaScript", 0, 0, 40, 0, 3, 43
"e:\FYP-WORK\FypApp\src\components\Header.js", "JavaScript", 0, 0, 52, 0, 5, 57
"e:\FYP-WORK\FypApp\src\components\ImageComponent.js", "JavaScript", 0, 0, 70, 0, 8, 78
"e:\FYP-WORK\FypApp\src\components\ImageList.js", "JavaScript", 0, 0, 65, 0, 4, 69
"e:\FYP-WORK\FypApp\src\components\ImagePickerComponent.js", "JavaScript", 0, 0, 108, 0, 3, 111
"e:\FYP-WORK\FypApp\src\components\ListItem.js", "JavaScript", 0, 0, 74, 0, 4, 78
"e:\FYP-WORK\FypApp\src\components\MovieInput.js", "JavaScript", 0, 0, 154, 0, 7, 161
"e:\FYP-WORK\FypApp\src\components\MovieModal.js", "JavaScript", 0, 0, 311, 0, 9, 320
"e:\FYP-WORK\FypApp\src\components\ProjectCard.js", "JavaScript", 0, 0, 54, 0, 5, 59
"e:\FYP-WORK\FypApp\src\components\Screen.js", "JavaScript", 0, 0, 29, 0, 4, 33
"e:\FYP-WORK\FypApp\src\components\SocialComponents.js", "JavaScript", 0, 0, 13, 0, 2, 15
"e:\FYP-WORK\FypApp\src\components\SubHeading.js", "JavaScript", 0, 0, 52, 0, 5, 57
"e:\FYP-WORK\FypApp\src\components\TextInputComponent.js", "JavaScript", 0, 0, 45, 0, 3, 48
"e:\FYP-WORK\FypApp\src\components\Title.js", "JavaScript", 0, 0, 16, 0, 4, 20
"e:\FYP-WORK\FypApp\src\components\VideoPickerList.js", "JavaScript", 0, 0, 522, 0, 6, 528
"e:\FYP-WORK\FypApp\src\components\forms\AppDropDownPicker.js", "JavaScript", 0, 0, 47, 0, 5, 52
"e:\FYP-WORK\FypApp\src\components\forms\AppForm.js", "JavaScript", 0, 0, 14, 0, 3, 17
"e:\FYP-WORK\FypApp\src\components\forms\AppFormField.js", "JavaScript", 0, 0, 20, 0, 5, 25
"e:\FYP-WORK\FypApp\src\components\forms\AppFormPicker.js", "JavaScript", 0, 0, 21, 0, 4, 25
"e:\FYP-WORK\FypApp\src\components\forms\ErrorMessgae.js", "JavaScript", 0, 0, 13, 0, 4, 17
"e:\FYP-WORK\FypApp\src\components\forms\FormImageListPicker.js", "JavaScript", 0, 0, 28, 0, 7, 35
"e:\FYP-WORK\FypApp\src\components\forms\FormSingleImagePicker.js", "JavaScript", 0, 0, 48, 0, 9, 57
